rec_time	UTC	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Pupil X	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Pupil Y	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Left Eye_Pupil X	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Left Eye_Pupil Y	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Left Eye_Pupil Area	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Left Eye_Pupil Height	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Left Eye_Pupil Width	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Left Eye_Fixations_Fixations	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Left Eye_Fixations_Fixations Duration	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Left Eye_Saccades_Saccades	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Left Eye_Saccades_Saccades Duration	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Left Eye_Saccades_Saccades Angle
00:00:00.117	1557996974136	243.889	134.251	243.889	134.251	228.35	18.69	15.556	0	0	0	0	0
00:00:00.133	1557996974152	54.898	50.478	54.898	50.478	2642.712	66.919	50.282	0	0	0	0	0
00:00:00.150	1557996974169	227.89	128.333	227.89	128.333	468.757	29.827	20.01	0	0	0	0	0
00:00:00.167	1557996974186	0	0	0	0	0	0	0	0	0	0	0	0
00:00:00.183	1557996974202	221.207	123.942	221.207	123.942	641.595	31.933	25.581	0	0	0	0	0
00:00:00.200	1557996974219	192.742	133.837	220.099	123.551	559.559	30.068	23.694	0	0	0	0	0
00:00:00.217	1557996974236	192.134	133.489	218.883	122.856	582.781	31.627	23.461	0	0	0	0	0
00:00:00.233	1557996974252	218.874	122.38	218.874	122.38	449.99	30.008	19.093	0	0	0	0	0
00:00:00.250	1557996974269	216.624	121.946	216.624	121.946	515.364	28.901	22.705	0	0	0	0	0
00:00:00.267	1557996974286	216.414	122.326	216.414	122.326	491.919	29.953	20.911	0	0	0	0	0
00:00:00.283	1557996974302	191.211	132.876	214.961	122.108	521.399	28.538	23.262	0	0	0	0	0
00:00:00.300	1557996974319	214.521	122.461	214.521	122.461	515.288	29.308	22.386	0	0	0	0	0
00:00:00.317	1557996974336	189.812	133.248	214.592	122.387	548.525	30.799	22.677	0	0	0	0	0
00:00:00.333	1557996974352	188.488	134.409	213.319	122.794	585.236	30.464	24.46	0	0	0	0	0
00:00:00.350	1557996974369	185.669	132.531	209.387	121.473	475.078	25.898	23.356	0	0	0	0	0
00:00:00.367	1557996974386	179.843	132.247	203.749	121.621	490.701	28.984	21.556	0	0	0	0	0
00:00:00.383	1557996974402	180.205	132.121	203.832	121.023	545.183	32.659	21.254	0	0	0	0	0
00:00:00.400	1557996974419	0	0	0	0	0	0	0	0	0	0	0	0
00:00:00.417	1557996974436	155.01	144.025	203.705	120.53	483.601	30.643	20.094	0	0	0	0	0
00:00:00.433	1557996974452	0	0	0	0	0	0	0	0	0	0	0	0
00:00:00.450	1557996974469	0	0	204.071	121.379	515.406	32.19	20.386	0	0	0	0	0
00:00:00.467	1557996974486	180.406	132.408	205	120.98	488.767	30.52	20.391	0	0	0	0	0
00:00:00.483	1557996974502	0	0	205.021	121.727	600.417	30.863	24.77	0	0	0	0	0
00:00:00.500	1557996974519	0	0	208.581	120.345	401.167	28.834	17.715	0	0	0	0	0
00:00:00.517	1557996974536	182.428	131.945	206.229	120.841	504.139	29.33	21.885	0	0	0	0	0
00:00:00.533	1557996974552	0	0	206.771	121.172	431.848	29.11	18.889	0	0	0	0	0
00:00:00.550	1557996974569	0	0	207.529	122.756	485.976	29.433	21.023	0	0	0	0	0
00:00:00.567	1557996974586	185.034	133.243	207.257	122.581	408.418	28.855	18.022	0	0	0	0	0
00:00:00.583	1557996974602	0	0	209.727	120.923	376.206	26.899	17.807	0	0	0	0	0
00:00:00.600	1557996974619	0	0	209.341	121.223	414.861	29.137	18.129	0	0	0	0	0
00:00:00.617	1557996974636	186.823	133.178	210.089	121.56	477.032	29.753	20.414	0	0	0	0	0
00:00:00.633	1557996974652	0	0	211.826	122.04	466.983	26.598	22.354	0	0	0	0	0
00:00:00.650	1557996974669	0	0	212.033	120.826	478.392	28.613	21.288	0	0	0	0	0
00:00:00.667	1557996974686	0	0	0	0	0	0	0	0	0	0	0	0
00:00:00.683	1557996974702	189.664	130.57	214.053	120.35	528.845	29.882	22.534	0	0	0	0	0
00:00:00.700	1557996974719	217.753	120.278	217.753	120.278	437.718	29.621	18.815	0	0	0	0	0
00:00:00.717	1557996974736	191.594	129.494	217.431	119.171	546.999	27.782	25.069	0	0	0	0	0
00:00:00.733	1557996974752	220.123	120.526	220.123	120.526	442.558	30.178	18.672	0	0	0	0	0
00:00:00.750	1557996974769	218.72	119.904	218.72	119.904	533.795	31.043	21.893	0	0	0	0	0
00:00:00.767	1557996974786	195.496	130.193	221.247	119.758	519.503	30.777	21.492	0	0	0	0	0
00:00:00.783	1557996974802	195.015	130.686	221.572	119.413	530.577	30.17	22.392	0	0	0	0	0
00:00:00.800	1557996974819	222.26	120.731	222.26	120.731	485.43	30.516	20.254	0	0	0	0	0
00:00:00.817	1557996974836	222.091	120.231	222.091	120.231	527.453	33.248	20.199	0	0	0	0	0
00:00:00.833	1557996974852	222.849	121.335	222.849	121.335	517.259	31.009	21.239	0	0	0	0	0
00:00:00.850	1557996974869	222.088	120.186	222.088	120.186	594.696	32.54	23.27	0	0	0	0	0
00:00:00.867	1557996974886	222.863	119.689	222.863	119.689	589.58	31.812	23.597	0	0	0	0	0
00:00:00.883	1557996974902	223.354	118.417	223.354	118.417	615.478	29.86	26.244	0	0	0	0	0
00:00:00.900	1557996974919	223.499	120.901	223.499	120.901	561.983	32.267	22.175	0	0	0	0	0
00:00:00.917	1557996974936	223.891	120.557	223.891	120.557	525.348	32.348	20.678	0	0	0	0	0
00:00:00.933	1557996974952	223.908	120.581	223.908	120.581	533.159	30.751	22.075	0	0	0	0	0
00:00:00.950	1557996974969	224.09	119.418	224.09	119.418	603.62	30.751	24.993	0	0	0	0	0
00:00:00.967	1557996974986	224.281	121.42	224.281	121.42	534.872	32.28	21.097	0	0	0	0	0
00:00:00.983	1557996975002	224.098	120.115	224.098	120.115	534.029	31.623	21.502	0	0	0	0	0
00:00:01.000	1557996975019	224.73	120.827	224.73	120.827	531.435	31.381	21.563	0	0	0	0	0
00:00:01.017	1557996975036	225.129	120.809	225.129	120.809	521.233	29.959	22.152	0	0	0	0	0
00:00:01.033	1557996975052	224.562	120.098	224.562	120.098	538.486	30.579	22.422	0	0	0	0	0
00:00:01.050	1557996975069	223.945	120.068	223.945	120.068	611.073	30.959	25.131	0	0	0	0	0
00:00:01.067	1557996975086	224.559	121.425	224.559	121.425	509.217	30.416	21.316	0	0	0	0	0
00:00:01.083	1557996975102	224.946	120.28	224.946	120.28	551.264	29.199	24.038	0	0	0	0	0
00:00:01.100	1557996975119	224.656	119.922	224.656	119.922	580.185	30.534	24.193	0	0	0	0	0
00:00:01.117	1557996975136	224.404	120.031	224.404	120.031	588.935	32.63	22.98	0	0	0	0	0
00:00:01.133	1557996975152	224.699	120.238	224.699	120.238	526.044	31.416	21.32	0	0	0	0	0
00:00:01.150	1557996975169	224.413	121.289	224.413	121.289	554.326	30.87	22.864	0	0	0	0	0
00:00:01.167	1557996975186	225.259	120.926	225.259	120.926	523.751	31.442	21.209	0	0	0	0	0
00:00:01.183	1557996975202	225.383	119.158	225.383	119.158	586.734	30.484	24.506	0	0	0	0	0
00:00:01.200	1557996975219	0	0	0	0	0	0	0	0	0	0	0	0
00:00:01.217	1557996975236	226.726	119.888	226.726	119.888	499.921	29.58	21.518	0	0	0	0	0
00:00:01.233	1557996975252	226.303	119.413	226.303	119.413	574.062	31.205	23.423	0	0	0	0	0
00:00:01.250	1557996975269	154.007	107.119	133.318	75.179	316.942	23.808	16.95	0	0	0	0	0
00:00:01.267	1557996975286	226.078	119.539	226.078	119.539	539.476	30.089	22.828	0	0	0	0	0
00:00:01.283	1557996975302	225.89	119.026	225.89	119.026	532.59	31.268	21.687	0	0	0	0	0
00:00:01.300	1557996975319	226.74	119.6	226.74	119.6	466.37	31.251	19.001	0	0	0	0	0
00:00:01.317	1557996975336	226.328	119.212	226.328	119.212	543.53	31.926	21.676	0	0	0	0	0
00:00:01.333	1557996975352	226.633	119.633	226.633	119.633	493.381	30.76	20.423	0	0	0	0	0
00:00:01.350	1557996975369	225.647	118.801	225.647	118.801	526.577	30.721	21.824	0	0	0	0	0
00:00:01.367	1557996975386	225.519	119.873	225.519	119.873	493.584	32.284	19.466	0	0	0	0	0
00:00:01.383	1557996975402	201.517	128.979	225.222	118.864	570.626	31.021	23.421	0	0	0	0	0
00:00:01.400	1557996975419	225.945	119.47	225.945	119.47	527.726	30.648	21.924	0	0	0	0	0
00:00:01.417	1557996975436	225.739	119.671	225.739	119.671	502.532	32.291	19.815	0	0	0	0	0
00:00:01.433	1557996975452	225.422	120.431	225.422	120.431	521.151	31.989	20.743	0	0	0	0	0
00:00:01.450	1557996975469	226.113	118.443	226.113	118.443	508.526	30.728	21.071	0	0	0	0	0
00:00:01.467	1557996975486	0	0	0	0	0	0	0	0	0	0	0	0
