rec_time	UTC	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Pupil X	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Pupil Y	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil X	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Y	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Area	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Height	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Pupil Width	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Fixations_Fixations	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Fixations_Fixations Duration	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades Duration	Dikablis Professional Wireless  (DGW18050)_Eye Data_Original_Right Eye_Saccades_Saccades Angle
00:00:00.151	1557996974170	227.89	128.333	0	0	0	0	0	0	0	0	0	0
00:00:00.167	1557996974186	0	0	0	0	0	0	0	0	0	0	0	0
00:00:00.184	1557996974203	221.207	123.942	0	0	0	0	0	0	0	0	0	0
00:00:00.201	1557996974220	192.742	133.837	165.385	144.123	264.277	20.857	16.133	0	0	0	0	0
00:00:00.217	1557996974236	192.134	133.489	165.385	144.123	264.277	20.857	16.133	0	0	0	0	0
00:00:00.234	1557996974253	218.874	122.38	0	0	0	0	0	0	0	0	0	0
00:00:00.251	1557996974270	216.624	121.946	0	0	0	0	0	0	0	0	0	0
00:00:00.267	1557996974286	216.414	122.326	0	0	0	0	0	0	0	0	0	0
00:00:00.284	1557996974303	191.211	132.876	167.462	143.645	397.574	26.696	18.962	0	0	0	0	0
00:00:00.301	1557996974320	214.521	122.461	0	0	0	0	0	0	0	0	0	0
00:00:00.317	1557996974336	189.812	133.248	165.031	144.109	411.499	27.133	19.31	0	0	0	0	0
00:00:00.334	1557996974353	188.488	134.409	163.658	146.024	307.773	22.577	17.357	0	0	0	0	0
00:00:00.351	1557996974370	185.669	132.531	161.952	143.59	394.418	26.238	19.139	0	0	0	0	0
00:00:00.367	1557996974386	179.843	132.247	155.938	142.873	412.244	27.971	18.765	0	0	0	0	0
00:00:00.384	1557996974403	180.205	132.121	156.578	143.219	530.361	30.943	21.823	0	0	0	0	0
00:00:00.401	1557996974420	180.149	132.866	156.592	145.201	511.184	30.022	21.679	0	0	0	0	0
00:00:00.417	1557996974436	155.01	144.025	155.01	144.025	437.449	26	21.422	0	0	0	0	0
00:00:00.434	1557996974453	180.313	132.571	156.554	143.764	470.337	29.811	20.088	0	0	0	0	0
00:00:00.451	1557996974470	180.749	132.169	156.497	143.358	424.369	26.719	20.223	0	0	0	0	0
00:00:00.467	1557996974486	180.406	132.408	155.791	143.09	402.705	28.257	18.146	0	0	0	0	0
00:00:00.484	1557996974503	183.449	131.8	158.316	143.254	479.202	27.742	21.993	0	0	0	0	0
00:00:00.501	1557996974520	181.549	132.586	156.869	144.332	417.718	23.536	22.597	0	0	0	0	0
00:00:00.517	1557996974536	182.428	131.945	158.084	142.717	473.347	27.559	21.869	0	0	0	0	0
00:00:00.534	1557996974553	182.319	133.809	157.109	144.861	388.9	25.473	19.439	0	0	0	0	0
00:00:00.551	1557996974570	181.397	133.703	155.537	144.825	341.975	21.296	20.445	0	0	0	0	0
00:00:00.567	1557996974586	185.034	133.243	160.342	145.563	416.713	26.836	19.771	0	0	0	0	0
00:00:00.584	1557996974603	184.106	132.618	158.871	144.013	366.957	25.263	18.494	0	0	0	0	0
00:00:00.601	1557996974620	185.144	133.204	160.198	144.847	365.396	25.366	18.341	0	0	0	0	0
00:00:00.617	1557996974636	186.823	133.178	161.821	144.315	406.501	26.717	19.372	0	0	0	0	0
00:00:00.634	1557996974653	186.445	132.051	160.857	143.276	374.352	25.461	18.72	0	0	0	0	0
00:00:00.651	1557996974670	162.989	140.852	162.989	140.852	368.173	25.386	18.466	0	0	0	0	0
00:00:00.667	1557996974686	0	0	0	0	0	0	0	0	0	0	0	0
00:00:00.684	1557996974703	189.664	130.57	165.275	140.79	413.563	24.197	21.762	0	0	0	0	0
00:00:00.701	1557996974720	217.753	120.278	0	0	0	0	0	0	0	0	0	0
00:00:00.717	1557996974736	191.594	129.494	165.758	139.818	323.258	23.976	17.166	0	0	0	0	0
00:00:00.734	1557996974753	220.123	120.526	0	0	0	0	0	0	0	0	0	0
00:00:00.751	1557996974770	218.72	119.904	0	0	0	0	0	0	0	0	0	0
00:00:00.767	1557996974786	195.496	130.193	169.745	140.628	380.842	23.403	20.719	0	0	0	0	0
00:00:00.784	1557996974803	195.015	130.686	168.458	141.959	318.858	22.139	18.338	0	0	0	0	0
00:00:00.801	1557996974820	222.26	120.731	0	0	0	0	0	0	0	0	0	0
00:00:00.817	1557996974836	222.091	120.231	0	0	0	0	0	0	0	0	0	0
00:00:00.834	1557996974853	222.849	121.335	0	0	0	0	0	0	0	0	0	0
00:00:00.851	1557996974870	222.088	120.186	0	0	0	0	0	0	0	0	0	0
00:00:00.867	1557996974886	222.863	119.689	0	0	0	0	0	0	0	0	0	0
00:00:00.884	1557996974903	223.354	118.417	0	0	0	0	0	0	0	0	0	0
00:00:00.901	1557996974920	223.499	120.901	0	0	0	0	0	0	0	0	0	0
00:00:00.917	1557996974936	223.891	120.557	0	0	0	0	0	0	0	0	0	0
